class_or_metric,precision,recall,f1-score,support
backdoor,1.0,0.9996666666666667,0.9998333055509252,6000.0
ddos,0.9871086556169429,0.9826666666666667,0.9848826526350957,6000.0
dos,0.991930060524546,0.9833333333333333,0.987612989621694,6000.0
injection,0.9753231492361927,0.9686562187395799,0.971978251777499,5998.0
mitm,0.7346368715083799,0.8402555910543131,0.7839046199701938,313.0
normal,0.9981074392196826,0.9981074392196826,0.9981074392196826,13738.0
password,0.9956529008527002,0.9925,0.9940739504215007,6000.0
ransomware,0.9995478182229256,1.0,0.9997738579828132,4421.0
scanning,0.9878858280783273,0.9921666666666666,0.9900216198237153,6000.0
xss,0.9714897824653922,0.9825,0.976963871395426,6000.0
accuracy,0.988969737059699,0.988969737059699,0.988969737059699,0.988969737059699
macro avg,0.964168250572509,0.973985258234691,0.9687152558398544,60470.0
weighted avg,0.9891737036463008,0.988969737059699,0.9890461098568591,60470.0
