feature,importance
num__src_ip_bytes,0.01600093414038948
num__dst_port,0.015043017175471407
num__duration,0.012624802417431396
cat__conn_state_REJ,0.011291713551291953
num__src_bytes,0.010944998564706843
num__dst_bytes,0.01055947478114248
cat__conn_state_SF,0.0103567596968082
num__src_port,0.009027167694478555
num__dst_ip_bytes,0.008671747339619557
cat__service_http,0.008651649053221562
cat__conn_state_S0,0.008531271928763273
num__src_pkts,0.008391916673667342
num__dst_pkts,0.008277510701558083
cat__service_-,0.006384261111380035
cat__conn_state_OTH,0.00516742293124969
cat__proto_tcp,0.004521737471652575
cat__proto_udp,0.004072165712662147
cat__service_dns,0.0031496456589002377
cat__conn_state_S1,0.002827200828690227
cat__conn_state_S3,0.002517033462639223
